ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
413281181,Photo,Western Bluebird,Sialia mexicana,,Petra Clayton,2022-02-05,2022,2,5,1305,United States,US-CA-079,California,San Luis Obispo,Cuesta College Campus,35.3299016,-120.7414627,Adult Male – 1,,Unspecified,"","",,,,,,,S102097849,"",,,,,Sialia mexicana,wesblu,Species,27195,,3.00,1,,2600,4177
413256471,Photo,Western Bluebird,Sialia mexicana,,Maury Swoveland,2022-02-05,2022,2,5,1247,United States,US-CA-059,California,Orange,"Pinecrest Park, Mission Viejo",33.6524765,-117.6368594,Adult Male – 1,Foraging or Eating,Unspecified,"","",,,,,,,S102090084,"",,,,,Sialia mexicana,wesblu,Species,27195,,5.00,1,Habitat,1856,2000
413249431,Audio,Western Bluebird,Sialia mexicana,,Anonymous,2022-02-05,2022,2,5,1048,United States,US-CA-073,California,San Diego,Sweetwater Regional Park--Morrison Pond,32.6737390,-117.0232329,"",,Unspecified,"","",,,,,,,S102079492,"",,,,,Sialia mexicana,wesblu,Species,27195,,2.50,2,,,
413240091,Photo,Western Bluebird,Sialia mexicana,,Sylvie Silverstein,2022-02-05,2022,2,5,1055,United States,US-CA-041,California,Marin,McInnis County Park,38.0205763,-122.5208616,"",,Unspecified,"","",,,,,,,S102093253,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,3888,5184
413239801,Photo,Western Bluebird,Sialia mexicana,,Sylvie Silverstein,2022-02-05,2022,2,5,1055,United States,US-CA-041,California,Marin,McInnis County Park,38.0205763,-122.5208616,"",,Unspecified,"","",,,,,,,S102093253,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,3888,5184
413222231,Photo,Western Bluebird,Sialia mexicana,,Sally Veach,2022-02-04,2022,2,4,730,United States,US-CA-073,California,San Diego,Leo Carrillo Ranch Historic Park,33.1189480,-117.2369179,"",,Unspecified,"","",,,,,,,S102032522,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,1791,1415
413216431,Photo,Western Bluebird,Sialia mexicana,,Alane Gray,2022-02-05,2022,2,5,937,United States,US-CA-081,California,San Mateo,La Honda Creek OSP (lower),37.3263220,-122.2799885,"",,Unspecified,"","",,,,,,,S102089090,"",,,,,Sialia mexicana,wesblu,Species,27195,,2.00,1,,1227,1636
413216021,Photo,Western Bluebird,Sialia mexicana,,Alane Gray,2022-02-05,2022,2,5,937,United States,US-CA-081,California,San Mateo,La Honda Creek OSP (lower),37.3263220,-122.2799885,"",,Unspecified,"","",,,,,,,S102089090,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,1479,1972
413187101,Photo,Western Bluebird,Sialia mexicana,,Damian O’Sullivan,2022-02-05,2022,2,5,730,United States,US-CA-037,California,Los Angeles,Legg Lake,34.0318920,-118.0601120,"",,Unspecified,"","",,,,,,,S102081728,"",,,,,Sialia mexicana,wesblu,Species,27195,,3.00,1,,2169,3254
413183211,Photo,Western Bluebird,Sialia mexicana,,Margaret & Fred Parkes,2022-02-03,2022,2,3,1400,United States,US-CA-085,California,Santa Clara,Stanford Dish Trail,37.4111586,-122.1885896,"",,Unspecified,"","",,,,,,,S101984733,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,1586,1096
413168601,Photo,Western Bluebird,Sialia mexicana,,Adam Kucharek,2022-02-05,2022,2,5,1121,United States,US-CA-061,California,Placer,Ravine View Dr.,38.7300630,-121.2681220,"",,Unspecified,"","",,,,,,,S102077734,"",,,,"I’ve now seen this pair checking out this box 3 days in a row. All winter I’ve had some titmouses that have hung out and I assume roosted in the box? Either way, the bluebirds were checking it out while the titmouses were right next to them squawking away",Sialia mexicana,wesblu,Species,27195,,.00,0,,3024,4032
413142761,Photo,Western Bluebird,Sialia mexicana,,Ruth Gravance,2022-02-05,2022,2,5,657,United States,US-CA-037,California,Los Angeles,Valyermo Post Office,34.4459900,-117.8546333,"",,Unspecified,"","",,,,,,,S102071457,"",,,,At the Philyermo gates,Sialia mexicana,wesblu,Species,27195,,4.00,1,,1865,1999
413130991,Photo,Western Bluebird,Sialia mexicana,,Sam  Eberhard,2022-02-04,2022,2,4,1510,United States,US-CA-087,California,Santa Cruz,UC Santa Cruz--Arboretum,36.9827920,-122.0608842,"",,Unspecified,"","",,,,,,,S102032860,"",,,,,Sialia mexicana,wesblu,Species,,,5.00,4,,3715,4953
413125271,Photo,Western Bluebird,Sialia mexicana,,Richard Moss,2022-02-04,2022,2,4,1308,United States,US-CA-053,California,Monterey,Elkhorn Slough Reserve (NERR),36.8182308,-121.7364764,"",,Unspecified,"","",,,,,,,S102037335,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,1840,1936
413080291,Photo,Western Bluebird,Sialia mexicana,,Joe Donahue,2022-02-04,2022,2,4,1252,United States,US-CA-085,California,Santa Clara,Vasona Lake County Park,37.2385116,-121.9709873,Adult Male – 1,,Unspecified,"","",,,,,,,S102039911,"",,,,,Sialia mexicana,wesblu,Species,27195,,3.00,1,,2317,2422
413080281,Photo,Western Bluebird,Sialia mexicana,,Joe Donahue,2022-02-04,2022,2,4,1252,United States,US-CA-085,California,Santa Clara,Vasona Lake County Park,37.2385116,-121.9709873,Adult Male – 1,,Unspecified,"","",,,,,,,S102039911,"",,,,,Sialia mexicana,wesblu,Species,27195,,3.00,1,,2515,2383
413080271,Photo,Western Bluebird,Sialia mexicana,,Joe Donahue,2022-02-04,2022,2,4,1252,United States,US-CA-085,California,Santa Clara,Vasona Lake County Park,37.2385116,-121.9709873,Adult Female – 1,,Unspecified,"","",,,,,,,S102039911,"",,,,,Sialia mexicana,wesblu,Species,27195,,3.00,1,,1909,2106
413080261,Photo,Western Bluebird,Sialia mexicana,,Joe Donahue,2022-02-04,2022,2,4,1252,United States,US-CA-085,California,Santa Clara,Vasona Lake County Park,37.2385116,-121.9709873,Adult Male – 1,,Unspecified,"","",,,,,,,S102039911,"",,,,,Sialia mexicana,wesblu,Species,27195,,3.00,1,,2304,2751
413080221,Photo,Western Bluebird,Sialia mexicana,,Joe Donahue,2022-02-04,2022,2,4,1252,United States,US-CA-085,California,Santa Clara,Vasona Lake County Park,37.2385116,-121.9709873,Adult Female – 1,,Unspecified,"","",,,,,,,S102039911,"",,,,,Sialia mexicana,wesblu,Species,27195,,3.00,1,,1922,1698
413074551,Photo,Western Bluebird,Sialia mexicana,,Joseph Ryan,2022-02-04,2022,2,4,1043,United States,US-CA-001,California,Alameda,San Lorenzo Community Center Park,37.6650534,-122.1426380,"",,Unspecified,"","",,,,,,,S102011798,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,1600,2400
413074541,Photo,Western Bluebird,Sialia mexicana,,Joseph Ryan,2022-02-04,2022,2,4,1043,United States,US-CA-001,California,Alameda,San Lorenzo Community Center Park,37.6650534,-122.1426380,"",,Unspecified,"","",,,,,,,S102011798,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,1600,2400
413074531,Photo,Western Bluebird,Sialia mexicana,,Joseph Ryan,2022-02-04,2022,2,4,1043,United States,US-CA-001,California,Alameda,San Lorenzo Community Center Park,37.6650534,-122.1426380,"",,Unspecified,"","",,,,,,,S102011798,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,1600,2400
413038861,Photo,Western Bluebird,Sialia mexicana,,Elizabeth Crouthamel,2022-02-01,2022,2,1,934,United States,US-CA-097,California,Sonoma,Ellis Creek Water Recyling Facility,38.2251678,-122.5838828,"",,Unspecified,"","",,,,,,,S102042141,"",,,,,Sialia mexicana,wesblu,Species,,,3.50,2,,1778,2225
413023771,Photo,Western Bluebird,Sialia mexicana,,John Callender,2022-02-04,2022,2,4,819,United States,US-CA-083,California,Santa Barbara,Happy Canyon Rd at Alisos Rd,34.6233440,-120.0014410,"",,Unspecified,"","",,,,,,,S102005020,"",,,,,Sialia mexicana,wesblu,Species,27195,,2.00,1,,1484,2170
413023031,Photo,Western Bluebird,Sialia mexicana,,Gail  West,2022-02-04,2022,2,4,1350,United States,US-CA-001,California,Alameda,San Lorenzo Community Center Park,37.6650534,-122.1426380,"",,Unspecified,"","",,,,,,,S102039839,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,1458,2048
413021321,Photo,Western Bluebird,Sialia mexicana,,Don Rose,2022-02-04,2022,2,4,917,United States,US-CA-065,California,Riverside,Cactus Spring Trail,33.5799352,-116.4498600,"",,Unspecified,"","",,,,,,,S102016888,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,1538,1025
413003441,Photo,Western Bluebird,Sialia mexicana,,Michele Troughton,2022-02-04,2022,2,4,1431,United States,US-CA-055,California,Napa,American Canyon Wetlands,38.1801109,-122.2731047,"",,Unspecified,"","",,,,,,,S102037617,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,3024,4032
412989451,Photo,Western Bluebird,Sialia mexicana,,Bob Greenleaf,2022-02-04,2022,2,4,820,United States,US-CA-067,California,Sacramento,Cosumnes River Preserve--Cosumnes River Walk,38.2598509,-121.4364767,"",,Unspecified,"","",,,,,,,S102031151,"",,,,,Sialia mexicana,wesblu,Species,27195,,.00,0,,1123,1685
412961101,Photo,Western Bluebird,Sialia mexicana,,Anonymous,2022-02-04,2022,2,4,1150,United States,US-CA-013,California,Contra Costa,"EBMUD Goat Road (Permit required) (37.9866409, -122.2279592)",37.9866409,-122.2279592,"",,Unspecified,"","",,,,,,,S102034705,"",,,,,Sialia mexicana,wesblu,Species,27195,,5.00,1,,2175,3144
